Hour,Hot_Clear,Hot_Hazy,Hot_Cloudy,Storm_PM,Clear_Breezy,Mild_Balanced,Overcast_Windy,Cloudy_Calm
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0.02,0.017,0.011,0.02,0.02,0.018,0.006,0.01
8,0.1,0.088,0.058,0.1,0.102,0.092,0.035,0.05
9,0.24,0.216,0.144,0.235,0.247,0.226,0.091,0.127
10,0.45,0.414,0.279,0.423,0.464,0.428,0.18,0.252
11,0.66,0.62,0.422,0.561,0.686,0.634,0.277,0.383
12,0.82,0.771,0.541,0.574,0.853,0.795,0.353,0.492
13,0.9,0.837,0.612,0.405,0.936,0.873,0.396,0.54
14,0.92,0.846,0.626,0.202,0.948,0.883,0.405,0.543
15,0.88,0.792,0.581,0.158,0.906,0.836,0.378,0.51
16,0.76,0.669,0.486,0.19,0.775,0.714,0.319,0.426
17,0.58,0.499,0.36,0.203,0.592,0.539,0.232,0.313
18,0.35,0.294,0.21,0.175,0.354,0.322,0.133,0.182
19,0.14,0.115,0.081,0.098,0.14,0.126,0.05,0.07
20,0.03,0.024,0.016,0.026,0.03,0.026,0.01,0.014
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0
