Hour,Hot_Clear,Hot_Hazy,Hot_Cloudy,Storm_PM,Clear_Breezy,Mild_Balanced,Overcast_Windy,Cloudy_Calm
1,0.44,0.317,0.462,0.418,0.537,0.44,0.638,0.264
2,0.46,0.331,0.483,0.437,0.561,0.46,0.653,0.276
3,0.47,0.343,0.494,0.446,0.564,0.47,0.658,0.282
4,0.48,0.355,0.504,0.456,0.566,0.48,0.662,0.288
5,0.46,0.34,0.478,0.437,0.529,0.46,0.621,0.285
6,0.42,0.311,0.433,0.399,0.47,0.42,0.554,0.269
7,0.37,0.277,0.377,0.363,0.407,0.363,0.481,0.244
8,0.32,0.243,0.323,0.32,0.346,0.314,0.41,0.218
9,0.28,0.213,0.28,0.288,0.297,0.274,0.35,0.196
10,0.24,0.187,0.24,0.254,0.25,0.238,0.293,0.173
11,0.21,0.168,0.21,0.231,0.214,0.21,0.252,0.155
12,0.19,0.156,0.19,0.218,0.19,0.19,0.224,0.143
13,0.18,0.148,0.182,0.22,0.18,0.18,0.212,0.135
14,0.18,0.148,0.184,0.234,0.184,0.182,0.216,0.133
15,0.19,0.152,0.198,0.262,0.2,0.194,0.236,0.137
16,0.22,0.176,0.233,0.319,0.242,0.227,0.282,0.154
17,0.25,0.195,0.27,0.37,0.288,0.26,0.33,0.17
18,0.29,0.22,0.319,0.435,0.342,0.302,0.394,0.191
19,0.34,0.252,0.374,0.483,0.408,0.354,0.476,0.218
20,0.38,0.281,0.418,0.494,0.464,0.391,0.54,0.236
21,0.41,0.303,0.443,0.484,0.508,0.418,0.59,0.246
22,0.44,0.317,0.466,0.475,0.546,0.444,0.638,0.264
23,0.45,0.324,0.473,0.45,0.554,0.45,0.652,0.27
24,0.45,0.324,0.473,0.441,0.549,0.45,0.652,0.27
